entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason
2026-02-03,2026-02-03,603629,40.04,44.06,10.03,9.83,72.23314852439944,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.7364064402689973, 'sentiment': 1.9366780611728156, 'valuation': -0.055052597477466124, 'liquidity': 3.0}",T+1平仓
2026-02-04,2026-02-04,002931,102.3,110.33,7.85,7.65,72.61021982990343,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5996237325338754, 'sentiment': 2.8621848682365996, 'valuation': -0.2932598513057341, 'liquidity': 2.0659697519266005}",T+1平仓
2026-02-04,2026-02-04,688726,68.07,73.83,8.46,8.26,72.55845470095706,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6281875838651715, 'sentiment': 2.158551568959139, 'valuation': 0.1370751221634316, 'liquidity': 2.2833673706028077}",T+1平仓
2026-02-04,2026-02-04,002112,24.3,24.89,2.39,2.19,72.2886897950912,"{'trend': 2.9144001143995895, 'momentum': 3.0, 'quality': -0.41681494139755115, 'sentiment': 1.570983733639465, 'valuation': 0.003740291798765115, 'liquidity': 3.0}",T+1平仓
2026-02-04,2026-02-04,002165,14.51,13.79,-5.0,-5.2,70.42129642556944,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.3884997173431566, 'sentiment': 0.9764650034102789, 'valuation': -0.28675022669140937, 'liquidity': 3.0}",止损(-5%)
2026-02-04,2026-02-04,603396,50.71,53.45,5.39,5.19,69.18240605224099,"{'trend': 2.3661010340549837, 'momentum': 2.367747063363712, 'quality': -0.33435316506956925, 'sentiment': 1.8659623363618743, 'valuation': -0.12553668884159405, 'liquidity': 2.6252842416179716}",T+1平仓
2026-02-05,2026-02-05,603103,28.81,31.63,9.79,9.59,72.84587196516819,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5122814251092751, 'sentiment': 3.0, 'valuation': -0.06995656968836245, 'liquidity': 1.3950572997073942}",T+1平仓
2026-02-05,2026-02-05,600986,15.0,15.5,3.33,3.13,72.44601512881562,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5503122913727503, 'sentiment': 2.099583306741864, 'valuation': -0.29237014574510695, 'liquidity': 3.0}",T+1平仓
2026-02-05,2026-02-05,603629,38.48,43.12,12.05,11.85,71.78510459432795,"{'trend': 2.645665110383554, 'momentum': 2.4792774815133973, 'quality': -0.7419603589863626, 'sentiment': 3.0, 'valuation': -0.049551770678182755, 'liquidity': 2.596180879177179}",T+1平仓
2026-02-05,2026-02-05,002931,108.12,116.38,7.64,7.44,71.4662221157206,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6002749695032857, 'sentiment': 2.3552798679105225, 'valuation': -0.29237014574510695, 'liquidity': 2.063185172444735}",T+1平仓
2026-02-05,2026-02-05,002969,22.57,25.26,11.93,11.73,71.24125780798228,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.521229094634384, 'sentiment': 3.0, 'valuation': -0.29237014574510695, 'liquidity': 0.788037019413833}",T+1平仓
2026-02-06,2026-02-06,002112,23.14,25.38,9.69,9.49,75.7396252149577,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.42663480558601513, 'sentiment': 3.0, 'valuation': 0.006509877238579117, 'liquidity': 3.0}",T+1平仓
2026-02-06,2026-02-06,002842,25.9,28.43,9.79,9.59,74.71578472991901,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5988345377968379, 'sentiment': 3.0, 'valuation': 0.019268337638000413, 'liquidity': 2.636322220263681}",T+1平仓
2026-02-06,2026-02-06,002155,32.16,35.92,11.7,11.5,74.10881875486822,"{'trend': 3.0, 'momentum': 2.9685641431575247, 'quality': -0.7009699449511861, 'sentiment': 3.0, 'valuation': 0.1672177841711012, 'liquidity': 2.1872039434026993}",T+1平仓
2026-02-06,2026-02-06,688726,64.21,72.43,12.79,12.59,74.02029434663416,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6365802420098994, 'sentiment': 3.0, 'valuation': 0.1384878609607993, 'liquidity': 2.0097143265209647}",T+1平仓
2026-02-06,2026-02-06,002440,12.16,13.2,8.51,8.31,73.9935608260601,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6632242407381247, 'sentiment': 3.0, 'valuation': 0.14245713730170723, 'liquidity': 2.037241424246243}",T+1平仓
2026-02-09,2026-02-09,002830,32.24,33.69,4.48,4.28,75.26408847857599,"{'trend': 2.9943033628355304, 'momentum': 3.0, 'quality': -0.6026842899462723, 'sentiment': 3.0, 'valuation': 0.029743753302736323, 'liquidity': 3.0}",T+1平仓
2026-02-09,2026-02-09,301312,85.1,85.36,0.32,0.12,74.51294912983441,"{'trend': 2.3280854557624306, 'momentum': 3.0, 'quality': 1.3023229694570218, 'sentiment': 1.8054769245084528, 'valuation': -0.28944146189043507, 'liquidity': 2.4518167731355605}",T+1平仓
2026-02-09,2026-02-09,603629,48.05,50.56,5.23,5.03,74.39666109226029,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.7534504718853366, 'sentiment': 3.0, 'valuation': -0.04956471838361935, 'liquidity': 2.870471108711439}",T+1平仓
2026-02-09,2026-02-09,002455,12.26,12.24,-0.2,-0.4,74.12496464370436,"{'trend': 2.9104536405303096, 'momentum': 3.0, 'quality': -0.5793572974050886, 'sentiment': 3.0, 'valuation': -0.28944146189043507, 'liquidity': 3.0}",T+1平仓
2026-02-09,2026-02-09,002716,13.41,14.11,5.16,4.96,74.04334408617433,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6071041795037324, 'sentiment': 3.0, 'valuation': -0.28944146189043507, 'liquidity': 2.8219873402378846}",T+1平仓
2026-02-10,2026-02-10,002842,30.74,31.8,3.44,3.24,73.24913120680247,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6053347980234446, 'sentiment': 2.1335304421835897, 'valuation': 0.015990540758484426, 'liquidity': 2.9778136557895216}",T+1平仓
2026-02-10,2026-02-10,600487,39.04,41.47,6.22,6.02,72.5312999610434,"{'trend': 2.993853934062448, 'momentum': 3.0, 'quality': -0.7144289737201677, 'sentiment': 2.8909887978077977, 'valuation': 0.10349509298962128, 'liquidity': 1.4185433373201}",T+1平仓
2026-02-10,2026-02-10,002969,28.06,30.39,8.31,8.11,71.6510276628043,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5365362953198559, 'sentiment': 3.0, 'valuation': -0.29474374053154384, 'liquidity': 1.0965785135723252}",T+1平仓
2026-02-10,2026-02-10,603103,39.21,40.37,2.96,2.76,71.54703193328412,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5276916922497207, 'sentiment': 3.0, 'valuation': -0.07194507543825514, 'liquidity': 0.5639614908986977}",T+1平仓
2026-02-10,2026-02-10,002455,13.49,13.47,-0.2,-0.4,71.03685754920795,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5805182972943024, 'sentiment': 3.0, 'valuation': -0.29474374053154384, 'liquidity': 0.7750957751236549}",T+1平仓
2026-02-11,2026-02-11,002842,32.13,34.97,8.85,8.65,74.868137986676,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6091234402370499, 'sentiment': 3.0, 'valuation': 0.019138355316278603, 'liquidity': 2.758728827625547}",T+1平仓
2026-02-11,2026-02-11,603629,52.44,57.06,8.81,8.61,73.87545011800677,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.7581334403090392, 'sentiment': 3.0, 'valuation': -0.04810916025992783, 'liquidity': 2.5294519464757843}",T+1平仓
2026-02-11,2026-02-11,600722,9.32,10.33,10.84,10.64,72.530235895649,"{'trend': 2.364656263060334, 'momentum': 2.927001821528628, 'quality': -0.5093746820239142, 'sentiment': 3.0, 'valuation': -0.2904543152998908, 'liquidity': 3.0}",T+1平仓
2026-02-11,2026-02-11,002378,25.02,27.61,10.34,10.14,71.78482468177376,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.45251597954200323, 'sentiment': 3.0, 'valuation': -0.24064602367631371, 'liquidity': 0.9095404609524702}",T+1平仓
2026-02-11,2026-02-11,600785,20.45,21.2,3.66,3.46,71.75216686501564,"{'trend': 3.0, 'momentum': 2.9290605153208533, 'quality': -0.5775077923225475, 'sentiment': 1.5943223019938149, 'valuation': 0.21410792062743048, 'liquidity': 2.443170094095324}",T+1平仓
2026-02-12,2026-02-12,301312,78.69,79.44,0.96,0.76,73.24713866294901,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.255681616489897, 'sentiment': 0.6172459283207319, 'valuation': -0.29872981776796703, 'liquidity': 2.1583199520410523}",T+1平仓
2026-02-12,2026-02-12,688726,76.08,83.03,9.14,8.94,73.23510271313418,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6547199270766141, 'sentiment': 2.8357816763959525, 'valuation': 0.1377063036466086, 'liquidity': 1.770423207688868}",T+1平仓
2026-02-12,2026-02-12,002842,36.94,38.47,4.15,3.95,73.22645432248034,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6173999655168653, 'sentiment': 3.0, 'valuation': 0.015553469050623417, 'liquidity': 1.6879958745860382}",T+1平仓
2026-02-12,2026-02-12,002112,24.65,24.9,0.98,0.78,71.66467594140012,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.44714251448530845, 'sentiment': 1.2216267543715946, 'valuation': 0.0024810958399858504, 'liquidity': 3.0}",T+1平仓
2026-02-12,2026-02-12,002378,28.41,30.37,6.9,6.7,71.65292587887622,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.461534367286739, 'sentiment': 3.0, 'valuation': -0.24816688431375655, 'liquidity': 0.8546864224518012}",T+1平仓
2026-02-13,2026-02-13,002498,6.29,6.76,7.59,7.39,72.2976185541637,"{'trend': 2.696222509023224, 'momentum': 3.0, 'quality': -0.6612281628482561, 'sentiment': 3.0, 'valuation': 0.13939936985256532, 'liquidity': 1.516291604054072}",T+1平仓
2026-02-13,2026-02-13,002931,86.09,81.78,-5.0,-5.2,71.4392386049263,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6192684511900698, 'sentiment': 2.2393916153136253, 'valuation': -0.30868210851991523, 'liquidity': 2.289639433067069}",止损(-5%)
2026-02-13,2026-02-13,603163,116.62,128.86,10.5,10.3,70.87984558493746,"{'trend': 2.821131764107213, 'momentum': 3.0, 'quality': -0.5458390520882533, 'sentiment': 3.0, 'valuation': 0.03776082574377096, 'liquidity': 0.29378998109951326}",T+1平仓
2026-02-13,2026-02-13,603103,29.53,34.87,18.07,17.87,69.28228022947141,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5329101046559958, 'sentiment': 3.0, 'valuation': -0.08003996783525023, 'liquidity': -0.9192463687032357}",T+1平仓
2026-02-13,2026-02-13,603331,18.12,19.78,9.17,8.97,68.80931342854387,"{'trend': 2.0526261221632978, 'momentum': 1.8518368105088714, 'quality': -0.6134136440783603, 'sentiment': 3.0, 'valuation': 0.14485211254852104, 'liquidity': 2.093657888665692}",T+1平仓
2026-02-24,2026-02-24,002165,11.64,12.51,7.44,7.24,73.66380567495024,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.41433132636385195, 'sentiment': 2.7303682311662367, 'valuation': -0.30002472261689567, 'liquidity': 2.6090302011789697}",T+1平仓
2026-02-24,2026-02-24,002498,7.11,7.44,4.72,4.52,72.69194439770656,"{'trend': 2.9566733382447064, 'momentum': 3.0, 'quality': -0.6629067837499129, 'sentiment': 2.738700971952281, 'valuation': 0.1403110698605658, 'liquidity': 1.651756225165238}",T+1平仓
2026-02-24,2026-02-24,600759,5.31,5.42,2.25,2.05,71.84021740732005,"{'trend': 3.0, 'momentum': 2.522455064122572, 'quality': -0.6045329190413612, 'sentiment': 2.6995963869151507, 'valuation': 0.06924951553964467, 'liquidity': 1.7976345686602149}",T+1平仓
2026-02-24,2026-02-24,603980,7.95,8.25,3.82,3.62,71.53780066586873,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.4116557663524369, 'sentiment': 1.5294860861991628, 'valuation': -0.01117263881941198, 'liquidity': 2.40996145829077}",T+1平仓
2026-02-24,2026-02-24,600487,40.9,42.19,3.15,2.95,71.53490288290106,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.719821275364461, 'sentiment': 2.6275977614716868, 'valuation': 0.10100674239661363, 'liquidity': 1.1528343456622039}",T+1平仓
2026-02-25,2026-02-25,002498,7.84,8.19,4.52,4.32,72.8877211864446,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6589711887484502, 'sentiment': 3.0, 'valuation': 0.1450696902056411, 'liquidity': 1.2862837880486824}",T+1平仓
2026-02-25,2026-02-25,002378,31.58,33.52,6.13,5.93,72.50135505899439,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.4522757231118786, 'sentiment': 3.0, 'valuation': -0.2393681056405828, 'liquidity': 1.3841910301678564}",T+1平仓
2026-02-25,2026-02-25,002842,36.54,37.46,2.53,2.33,71.4655103094473,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6078450715048362, 'sentiment': 1.4100661854271077, 'valuation': 0.01989059174018275, 'liquidity': 2.8711498876868435}",T+1平仓
2026-02-25,2026-02-25,600759,5.48,5.96,8.92,8.72,71.10323786015337,"{'trend': 2.848391927248278, 'momentum': 2.776763466398672, 'quality': -0.6005413221643142, 'sentiment': 3.0, 'valuation': 0.07605455479307499, 'liquidity': 0.7558697207501649}",T+1平仓
2026-02-25,2026-02-25,000657,54.05,58.77,8.73,8.53,71.05570755365012,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.647772133607537, 'sentiment': 3.0, 'valuation': -0.12128124049267261, 'liquidity': 0.575245117300502}",T+1平仓
2026-02-26,2026-02-26,301312,80.89,88.35,9.22,9.02,76.33867022873274,"{'trend': 2.8106255777300153, 'momentum': 2.632938661030125, 'quality': 1.2722836327479246, 'sentiment': 3.0, 'valuation': -0.2935027960209475, 'liquidity': 1.530892665362654}",T+1平仓
2026-02-26,2026-02-26,001896,11.05,12.12,9.65,9.45,75.65622821658941,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.4819434823215018, 'sentiment': 3.0, 'valuation': 0.11152507912071084, 'liquidity': 2.8449889507945194}",T+1平仓
2026-02-26,2026-02-26,002283,10.01,11.05,10.38,10.18,73.38809550482985,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.8362266532523337, 'sentiment': 3.0, 'valuation': 0.2079197528528726, 'liquidity': 1.8486774706854863}",T+1平仓
2026-02-26,2026-02-26,600841,10.16,11.13,9.53,9.33,72.5280751935965,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5421691480033285, 'sentiment': 3.0, 'valuation': 0.3294093223310912, 'liquidity': 0.44423644707546495}",T+1平仓
2026-02-26,2026-02-26,300658,20.78,22.28,7.2,7.0,72.3068850460343,"{'trend': 1.3638527410270638, 'momentum': 2.4541298787894497, 'quality': 1.1011311957434207, 'sentiment': 2.5647330651153, 'valuation': -0.2935027960209475, 'liquidity': 3.0}",T+1平仓
2026-02-27,2026-02-27,002842,38.05,41.52,9.12,8.92,75.23497169335903,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.60532167334208, 'sentiment': 3.0, 'valuation': 0.016978904461756955, 'liquidity': 3.0}",T+1平仓
2026-02-27,2026-02-27,301312,86.1,91.05,5.75,5.55,74.5951928706411,"{'trend': 2.8969451536329207, 'momentum': 3.0, 'quality': 1.2325070024033071, 'sentiment': 0.911750281312457, 'valuation': -0.297761306712286, 'liquidity': 2.8657881264775}",T+1平仓
2026-02-27,2026-02-27,688726,71.08,79.38,11.68,11.48,73.24379617174989,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6425463238938468, 'sentiment': 3.0, 'valuation': 0.13930933235511242, 'liquidity': 1.5023380975773974}",T+1平仓
2026-02-27,2026-02-27,001896,12.77,13.33,4.34,4.14,73.00751546581151,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.482942690816223, 'sentiment': 3.0, 'valuation': 0.11152687476213793, 'liquidity': 1.0811752759825097}",T+1平仓
2026-02-27,2026-02-27,603629,51.36,58.46,13.82,13.62,72.79302623971238,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.7532470485919303, 'sentiment': 3.0, 'valuation': -0.05138672322335635, 'liquidity': 1.8046183701054865}",T+1平仓
2026-03-02,2026-03-02,600759,6.84,6.82,-0.2,-0.4,74.30763324686137,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6003311033469186, 'sentiment': 3.0, 'valuation': 0.07011844543671322, 'liquidity': 2.265514147061323}",T+1平仓
2026-03-02,2026-03-02,002842,43.17,45.67,5.79,5.59,74.12292202846373,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6075937679778848, 'sentiment': 3.0, 'valuation': 0.011361343471674735, 'liquidity': 2.2744128679882416}",T+1平仓
2026-03-02,2026-03-02,603629,56.87,64.31,13.08,12.88,73.43072596894223,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.7547833696018195, 'sentiment': 3.0, 'valuation': -0.05884868804503799, 'liquidity': 2.247748094588537}",T+1平仓
2026-03-02,2026-03-02,002155,40.04,41.43,3.47,3.27,73.02547231808558,"{'trend': 2.8896134454626754, 'momentum': 3.0, 'quality': -0.7078182618796166, 'sentiment': 3.0, 'valuation': 0.1672669815600411, 'liquidity': 1.6521905484375203}",T+1平仓
2026-03-02,2026-03-02,301312,92.66,88.03,-5.0,-5.2,71.5475034435066,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.2303052578764972, 'sentiment': -0.3398343430406281, 'valuation': -0.31187009452356546, 'liquidity': 2.537883483526143}",止损(-5%)
2026-03-03,2026-03-03,300658,27.03,27.88,3.16,2.96,75.99660688767092,"{'trend': 2.248570072678151, 'momentum': 2.5148229995522957, 'quality': 1.2653635366413682, 'sentiment': 3.0, 'valuation': -0.3036111794966709, 'liquidity': 2.6381918994731435}",T+1平仓
2026-03-03,2026-03-03,603950,50.25,50.01,-0.48,-0.68,73.34304936743142,"{'trend': 2.289239355755969, 'momentum': 3.0, 'quality': 1.3926590147151083, 'sentiment': 1.5767826150887279, 'valuation': 0.1990531793118683, 'liquidity': 0.93495588942196}",T+1平仓
2026-03-03,2026-03-03,600026,24.47,24.88,1.64,1.44,72.1283602644195,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6888303957417705, 'sentiment': 3.0, 'valuation': 0.18571374344074493, 'liquidity': 0.7584734808817143}",T+1平仓
2026-03-03,2026-03-03,601872,18.92,17.97,-5.0,-5.2,71.86586565345718,"{'trend': 2.992096201514501, 'momentum': 3.0, 'quality': -0.6560844990729899, 'sentiment': 3.0, 'valuation': 0.21630172217714508, 'liquidity': 0.47261691973413844}",止损(-5%)
2026-03-03,2026-03-03,301312,90.09,86.31,-4.19,-4.39,71.75553689584035,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.2557515916450825, 'sentiment': 0.3020561059359092, 'valuation': -0.3036111794966709, 'liquidity': 1.646326280692884}",T+1平仓
2026-03-04,2026-03-04,001896,13.31,14.25,7.0,6.8,74.62024084947754,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.46967911299814846, 'sentiment': 2.9491700248576564, 'valuation': 0.10892385110573419, 'liquidity': 2.2112493861500346}",T+1平仓
2026-03-04,2026-03-04,003018,27.33,28.97,6.01,5.81,73.69928224870543,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.7144119373255013, 'sentiment': 2.560438751547256, 'valuation': 0.03825493971495968, 'liquidity': 2.811177367037156}",T+1平仓
2026-03-04,2026-03-04,002842,41.65,46.0,10.45,10.25,73.49721209716684,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5930263939081132, 'sentiment': 2.2157424162950976, 'valuation': 0.013623614075734902, 'liquidity': 3.0}",T+1平仓
2026-03-04,2026-03-04,002378,38.57,44.94,16.51,16.31,72.93204340631178,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.43632875427364176, 'sentiment': 3.0, 'valuation': -0.2525814820391895, 'liquidity': 1.6658494101668422}",T+1平仓
2026-03-04,2026-03-04,002440,13.31,14.55,9.25,9.05,72.75078815344997,"{'trend': 3.0, 'momentum': 2.9334160754954, 'quality': -0.657029678303903, 'sentiment': 3.0, 'valuation': 0.1410326143580951, 'liquidity': 1.2990621169484997}",T+1平仓
2026-03-05,2026-03-05,300658,28.24,26.83,-5.0,-5.2,74.67111076240428,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.2581690834499526, 'sentiment': 1.0903379085115796, 'valuation': -0.29531960903790305, 'liquidity': 2.386201363344725}",止损(-5%)
2026-03-05,2026-03-05,603950,51.09,48.54,-5.0,-5.2,74.62606690841687,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.4198002628431656, 'sentiment': 1.3947769023353265, 'valuation': 0.18892362981735794, 'liquidity': 0.607764800120541}",止损(-5%)
2026-03-05,2026-03-05,600875,39.92,42.17,5.63,5.43,72.7888075451454,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.7038904739262707, 'sentiment': 3.0, 'valuation': 0.17781487517398825, 'liquidity': 1.2446895609348367}",T+1平仓
2026-03-05,2026-03-05,002498,8.93,8.93,0.02,-0.18,72.7588290579699,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6387655289671844, 'sentiment': 3.0, 'valuation': 0.13403802495251374, 'liquidity': 1.182007713342616}",T+1平仓
2026-03-05,2026-03-05,600759,8.25,7.84,-5.0,-5.2,71.1915430219026,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5797844447432777, 'sentiment': 1.5056528321847156, 'valuation': 0.06578397422989109, 'liquidity': 2.3972170406847697}",止损(-5%)
2026-03-06,2026-03-06,300658,27.77,26.38,-5.0,-5.2,79.330131492153,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.2391292605023974, 'sentiment': 3.0, 'valuation': -0.30028423892455913, 'liquidity': 2.6757309516129872}",止损(-5%)
2026-03-06,2026-03-06,001896,14.05,15.86,12.88,12.68,74.71010891985533,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.48163055210661104, 'sentiment': 3.0, 'valuation': 0.10643443415512702, 'liquidity': 2.223798182473186}",T+1平仓
2026-03-06,2026-03-06,600722,11.55,13.52,17.01,16.81,74.58411214532242,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5050117126346341, 'sentiment': 3.0, 'valuation': -0.30028423892455913, 'liquidity': 3.0}",T+1平仓
2026-03-06,2026-03-06,600821,8.08,8.59,6.35,6.15,74.41390295721443,"{'trend': 2.728295308677799, 'momentum': 2.8671387210017216, 'quality': -0.5001403947356591, 'sentiment': 3.0, 'valuation': 0.2227451931690891, 'liquidity': 2.57342700908458}",T+1平仓
2026-03-06,2026-03-06,603950,51.83,54.79,5.7,5.5,73.87929687323886,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.3857066713387196, 'sentiment': 1.188273715600685, 'valuation': 0.19537778608975148, 'liquidity': 0.4749517605679323}",T+1平仓
2026-03-09,2026-03-09,600821,9.47,9.45,-0.2,-0.4,72.90438189217119,"{'trend': 2.876013164653943, 'momentum': 3.0, 'quality': -0.5003201653471455, 'sentiment': 3.0, 'valuation': 0.21983590425621424, 'liquidity': 1.0785301209880984}",T+1平仓
2026-03-09,2026-03-09,003035,8.73,9.57,9.64,9.44,72.16410295257381,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.40674809901877496, 'sentiment': 3.0, 'valuation': -0.036582882222557345, 'liquidity': 0.6627305975318734}",T+1平仓
2026-03-09,2026-03-09,002015,17.2,17.16,-0.2,-0.4,71.43713937822517,"{'trend': 2.6013263247635603, 'momentum': 3.0, 'quality': -0.5965733646739345, 'sentiment': 3.0, 'valuation': 0.14537463816837032, 'liquidity': 0.9911710556341212}",T+1平仓
2026-03-09,2026-03-09,002980,32.56,35.56,9.22,9.02,70.86999271248112,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.838788866910065, 'sentiment': 1.536817915541068, 'valuation': -0.10716033225203059, 'liquidity': 3.0}",T+1平仓
2026-03-09,2026-03-09,688308,76.89,84.92,10.44,10.24,70.78631165353741,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.7186560361471326, 'sentiment': 3.0, 'valuation': -0.2804883348257634, 'liquidity': 0.8558298443040708}",T+1平仓
2026-03-10,2026-03-10,300658,28.61,29.57,3.36,3.16,76.53069156125203,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.2340444629915148, 'sentiment': 1.9029784178500273, 'valuation': -0.29207859126668917, 'liquidity': 2.448728337276659}",T+1平仓
2026-03-10,2026-03-10,600108,5.22,5.96,14.36,14.16,74.36277597115205,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6955356920767285, 'sentiment': 3.0, 'valuation': -0.07656636468354536, 'liquidity': 2.786054760955251}",T+1平仓
2026-03-10,2026-03-10,002350,13.69,15.2,11.04,10.84,73.01670880177161,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5418815885548915, 'sentiment': 3.0, 'valuation': -0.18230952825364966, 'liquidity': 1.7928547681314928}",T+1平仓
2026-03-10,2026-03-10,001267,43.84,45.63,4.08,3.88,72.11285675325128,"{'trend': 2.9058630370538707, 'momentum': 3.0, 'quality': -0.7111697646532563, 'sentiment': 3.0, 'valuation': -0.29207859126668917, 'liquidity': 1.93667513989967}",T+1平仓
2026-03-10,2026-03-10,688308,85.89,95.21,10.86,10.66,71.55988182518846,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.7145897289874241, 'sentiment': 3.0, 'valuation': -0.27202152800377644, 'liquidity': 1.346477064108043}",T+1平仓
2026-03-11,2026-03-11,002015,18.03,19.4,7.61,7.41,75.30738866148546,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6024861083889791, 'sentiment': 2.991222770215695, 'valuation': 0.1495531657253833, 'liquidity': 2.7906241709939614}",T+1平仓
2026-03-11,2026-03-11,600108,6.16,6.56,6.62,6.42,74.40602538894451,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.705172059017691, 'sentiment': 3.0, 'valuation': -0.08233200445940715, 'liquidity': 2.84569171958387}",T+1平仓
2026-03-11,2026-03-11,600722,12.23,13.99,14.34,14.14,74.20037152624379,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5114522788603523, 'sentiment': 3.0, 'valuation': -0.3011521359344642, 'liquidity': 2.758789847085487}",T+1平仓
2026-03-11,2026-03-11,000988,123.11,134.75,9.45,9.25,73.52623890844997,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5665582219777123, 'sentiment': 3.0, 'valuation': 0.0041041320925666825, 'liquidity': 1.8090674520702696}",T+1平仓
2026-03-11,2026-03-11,002455,14.51,14.72,1.38,1.18,72.83950973136554,"{'trend': 3.0, 'momentum': 2.750450212973674, 'quality': -0.5857359302178404, 'sentiment': 3.0, 'valuation': -0.3011521359344642, 'liquidity': 2.3744406337544604}",T+1平仓
2026-03-12,2026-03-12,600821,9.82,10.86,10.58,10.38,76.1452895473311,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5030560226269426, 'sentiment': 3.0, 'valuation': 0.22427173091862104, 'liquidity': 2.9877616149707125}",T+1平仓
2026-03-12,2026-03-12,002015,20.02,21.34,6.59,6.39,75.2615891200896,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5989874837624659, 'sentiment': 3.0, 'valuation': 0.1480460067823731, 'liquidity': 2.742942367353247}",T+1平仓
2026-03-12,2026-03-12,600722,14.52,15.38,5.92,5.72,73.94626361220777,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5079134588953353, 'sentiment': 3.0, 'valuation': -0.30853894088897527, 'liquidity': 2.5970805410404716}",T+1平仓
